repository,commit id,dismiss,requirement,Manual steps,Start Time,End Time,import Time,Project Type,Project import result,Project Status,Language Server Status,IntelliJ result,Tester sign-off,Tags,nonSource,Project error,polyglot: Java & Kotlin,polyglot: Scala & Java,polyglot: Groovy & Java,unsupported build tool: Bazel,unsupported build tool: Ant,unsupported build tool: Make,IntelliJ configuration,non-standard project structure,unsupported project: unsupported android,timeout,Error disappear after opening file,type mismatch,cannot infer type arguments,type is not accessible,Code Generation,Annotation processing,Protobuf,indirectly referenced from .class files,The method is not applicable for the arguments,custom Gradle configuration,Access restriction,Project can not be built due to prerequisite,exception type must be a subclass of Throwable,The type must implement the inherit method,package cannot be resolved to a module,Gradle 7,cannot cast from template type,decalred package mismatch,local variables analyze,nest folder,the type is incompatible with return type,original dismiss,github current repository,github archived,github pushed at,github default branch commit at,github status,github invalid reason,selected valid 100,selection exclusion reason,github freshness cutoff,t1 selection policy
https://github.com/iluwatar/java-design-patterns.git,,,,,10:02:21,10:12:47,0:10:26,Maven,finished,success,success,,leizheng,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://github.com/iluwatar/java-design-patterns.git,False,2026-08-17,2026-08-16,valid,,yes,,2026-02-18,six-month-active; Java source; Maven/Gradle/unmanaged; historical dismiss retained but not excluded
https://github.com/spring-projects/spring-boot.git,,,,,10:43:44,10:47:30,0:03:46,Gradle,finished,error,success,error,leizheng,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://github.com/spring-projects/spring-boot.git,False,2026-08-17,2026-08-14,valid,,yes,,2026-02-18,six-month-active; Java source; Maven/Gradle/unmanaged; historical dismiss retained but not excluded
https://github.com/elastic/elasticsearch.git,cd820b6,,java17,,13:57:25,14:01:16,0:03:51,Gradle,finished,error,success,success,leizheng,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://github.com/elastic/elasticsearch.git,False,2026-08-18,2026-08-18,valid,,yes,,2026-02-18,six-month-active; Java source; Maven/Gradle/unmanaged; historical dismiss retained but not excluded
https://github.com/macrozheng/mall.git,,,,,,,0:00:00,Maven,finished,success,success,,leizheng,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://github.com/macrozheng/mall.git,False,2026-05-14,2026-05-14,valid,,yes,,2026-02-18,six-month-active; Java source; Maven/Gradle/unmanaged; historical dismiss retained but not excluded
https://github.com/TheAlgorithms/Java.git,,,,,,,0:00:00,Maven,finished,success,success,,leizheng,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://github.com/TheAlgorithms/Java.git,False,2026-08-17,2026-08-17,valid,,yes,,2026-02-18,six-month-active; Java source; Maven/Gradle/unmanaged; historical dismiss retained but not excluded
https://github.com/ReactiveX/RxJava.git,,,,,14:55:53,15:04:12,0:08:19,Gradle,finished,success,success,,leizheng,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://github.com/ReactiveX/RxJava.git,False,2026-08-17,2026-08-17,valid,,yes,,2026-02-18,six-month-active; Java source; Maven/Gradle/unmanaged; historical dismiss retained but not excluded
https://github.com/google/guava.git,,,,,15:08:37,15:13:48,0:05:11,Maven,finished,error,success,error,leizheng,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,https://github.com/google/guava.git,False,2026-08-18,2026-08-17,valid,,yes,,2026-02-18,six-month-active; Java source; Maven/Gradle/unmanaged; historical dismiss retained but not excluded
https://github.com/lysine-dev/okhttp.git,,yes,,,,,,Gradle,,,,,leizheng,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,https://github.com/lysine-dev/okhttp.git,False,2026-08-17,2026-08-17,valid,,yes,,2026-02-18,six-month-active; Java source; Maven/Gradle/unmanaged; historical dismiss retained but not excluded
https://github.com/lysine-dev/retrofit.git,,yes,,,,,,Gradle,,,,,leizheng,2,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,yes,https://github.com/lysine-dev/retrofit.git,False,2026-08-16,2026-08-16,valid,,yes,,2026-02-18,six-month-active; Java source; Maven/Gradle/unmanaged; historical dismiss retained but not excluded
https://github.com/apache/spark.git,,,,,16:43:44,16:56:45,0:13:01,Maven,finished,error,success,success,leizheng,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://github.com/apache/spark.git,False,2026-08-18,2026-08-18,valid,,yes,,2026-02-18,six-month-active; Java source; Maven/Gradle/unmanaged; historical dismiss retained but not excluded
